Article,link,picture
"
Dramatic finishes, London calling and Taylor Swift sighting: everything from Week 4’s Sunday games
",/2023/10/02/sport/week-4-2023-nfl-season-review-spt-intl/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/231002113301-04-nfl-100123-josh-allen.jpg?c=16x9&q=h_438,w_780,c_fill"
"
Coco Gauff, in her first match as a grand slam champion, advances at the China Open
",/2023/10/02/sport/coco-gauff-china-open-tennis-spt-intl/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/231002105812-01-coco-gauff-china-open-100223-restricted.jpg?c=16x9&q=h_438,w_780,c_fill"
"
‘The angriest I have been in my career’: Rory McIlroy says two heated rows with US caddies fueled Ryder Cup win
",/2023/10/02/sport/rory-mcilroy-angry-caddies-ryder-cup-spt-intl/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/231001101327-01-ryder-cup-100123.jpg?c=16x9&q=h_438,w_780,c_fill"
"
Liverpool says ‘sporting integrity’ in Premier League match against Tottenham undermined after VAR error
",/2023/10/01/sport/liverpool-tottenham-var-error-spt-intl/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/231001102307-01-liverpool-tottenham-var.jpg?c=16x9&q=h_438,w_780,c_fill"
"
Soccer player Da’vian Kimbrough makes historic debut at age 13
",/2023/10/02/sport/davian-kimbrough-debut-sacramento-republic-usl-spt-intl/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/231002110553-davian-kimbrough-080823.jpg?c=16x9&q=h_438,w_780,c_fill"
"
Simone Biles makes history on opening day of qualifying at World Artistic Gymnastics Championships
",/2023/10/01/sport/simone-biles-world-gymnastics-championships-qualifying-spt-intl/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/231001134125-04-simone-biles-world-gymnastics-championships-100123.jpg?c=16x9&q=h_438,w_780,c_fill"
"
Why is Saudi Arabia signing so many soccer players?
",/videos/sports/2023/09/22/saudi-arabia-soccer-contd-lon-orig.cnn,"https://media.cnn.com/api/v1/images/stellar/prod/230922170833-video-thumbnail-saudi-soccer-1.jpg?c=16x9&q=h_438,w_780,c_fill"
"
England captain Leah Williamson condemns treatment of Spain players
",/videos/sports/2023/09/21/exp-leah-williamson-int-092108aseg2-cnni-sport.cnn,"https://media.cnn.com/api/v1/images/stellar/prod/230921085119-exp-leah-williamson-int-092108aseg2-cnni-sport-00004301.png?c=16x9&q=h_438,w_780,c_fill"
"
Novak Djokovic is ‘far from being over’
",/videos/sports/2023/09/17/exp-patrick-mouratoglou-tennis-chat-fst-091705p-seg1-cnn-sports.cnn,"https://media.cnn.com/api/v1/images/stellar/prod/230917175603-exp-patrick-mouratoglou-tennis-chat-fst-091705p-seg1-cnn-sports-00000216.png?c=16x9&q=h_438,w_780,c_fill"
"
Rubiales appears in court over unwanted World Cup kiss
",/videos/sports/2023/09/15/exp-goodman-spanish-kiss-091505pseg1-cnni-sports.cnn,"https://media.cnn.com/api/v1/images/stellar/prod/230915174426-exp-goodman-spanish-kiss-091505pseg1-cnni-sports-00002001.png?c=16x9&q=h_438,w_780,c_fill"
"
‘This is crazy’: Coco Gauff on winning US Open
",/videos/sports/2023/09/10/coco-gauff-interview-carolyn-manno-vpx.cnn,"https://media.cnn.com/api/v1/images/stellar/prod/230909190853-08-us-open-womens-final-090923.jpg?c=16x9&q=h_438,w_780,c_fill"
